data,values_g,diff_g,values_e,diff_e,prod_pe,prod_et,venda_g,venda_e,cos_year,sin_year
2011-04-01,699298.409075,69383.206,624625.5545075,-127224.30080000004,2.4088781706969637,1.0,2.622027768202467,2.169222690309521,0.9995167608264586,-0.031084478875862714
2011-05-01,769371.085,-194988.11100000003,545085.761,246750.95880000008,2.582278259491593,1.0,2.6913641642649377,1.8707051826558243,0.9995167608264586,-0.031084478875862714
2011-06-01,692313.134,-77057.951,646785.505,101699.74399999996,2.592234231602429,1.0,2.542276729539437,1.706170476813639,0.9995167608264586,-0.031084478875862714
2011-07-01,711844.197,19531.06300000008,594505.6382,-52279.86679999996,2.612107002707422,1.0,2.592234231602429,1.8073092947624352,0.9995167608264586,-0.031084478875862714
2011-08-01,777295.44,65451.2429999999,619380.205,24874.566799999917,2.5523078535471226,1.0,2.562317106631795,1.824765525466175,0.9995167608264586,-0.031084478875862714
2011-09-01,824087.139,46791.69900000002,507933.438,-111446.76699999992,2.542276729539437,1.0,2.532221637071393,1.8924005357631648,0.9995167608264586,-0.031084478875862714
2011-10-01,802203.572,-21883.566999999923,533662.16,25728.72200000001,2.6021764825988547,1.0,2.572306559657849,1.88399046165086,0.9995167608264586,-0.031084478875862714
2011-11-01,830207.554,28003.98199999996,501730.413,-31931.747000000032,2.6319407437941367,1.0,2.582278259491593,1.901005147996188,0.9995167608264586,-0.031084478875862714
2011-12-01,776580.6223333332,128874.26399999997,513896.085,12165.67200000002,2.641847884982014,1.0,2.6021764825988547,1.940778299906688,0.9995167608264586,-0.031084478875862714
2012-01-01,808199.892,-150881.92599999998,439595.377,-74300.70800000004,2.622027768202467,21710.082,2.5523078535471226,1.9086458943302675,0.9996085702790253,-0.027976887330849187
2012-02-01,809679.456,1479.564000000013,487041.246,47445.869000000006,2.3876698686718134,2515.099,2.4815110113720715,1.833188884265315,0.9996085702790253,-0.027976887330849187
2012-03-01,887627.931,77948.47499999998,532639.462,45598.21600000007,2.5120310066031086,6467.832,2.522140449175204,1.8594206603371883,0.9996085702790253,-0.027976887330849187
2012-04-01,838506.184,-49121.74699999997,482637.085,-50002.37700000004,2.4193982963052285,217299.209,2.5120310066031086,1.8773210653194092,0.9996085702790253,-0.027976887330849187
2012-05-01,865521.024,27014.839999999967,498002.385,15365.299999999988,2.4815110113720715,730343.525,2.45065524899985,1.8504546224548768,0.9996085702790253,-0.027976887330849187
2012-06-01,844647.902,-20873.12199999997,439832.616,-58169.76900000003,2.471266206270641,611272.962,2.460981758567386,1.8181379305775576,0.9996085702790253,-0.027976887330849187
2012-07-01,839052.048,-5595.85400000005,443502.235,3669.619000000006,2.522140449175204,965493.596,2.471266206270641,1.7930676609046647,0.9996085702790253,-0.027976887330849187
2012-08-01,889791.052,50739.00400000007,474611.566,31109.33100000001,2.532221637071393,1045614.976,2.4088781706969637,1.770203775871234,0.9996085702790253,-0.027976887330849187
2012-09-01,826753.373,-63037.679,480529.949,5918.383000000031,2.4298660845718145,894467.785,2.4193982963052285,1.7749742327493498,0.9996085702790253,-0.027976887330849187
2012-10-01,897376.944,70623.571,532641.697,52111.74800000002,2.3983029675683967,870339.103,2.4402842025768394,1.7726359259952431,0.9996085702790253,-0.027976887330849187
2012-11-01,851044.138,-46332.80599999998,525076.9888,-7564.708199999994,2.45065524899985,692202.27,2.4298660845718145,1.7762154447205218,0.9996085702790253,-0.027976887330849187
2012-12-01,947644.825,96600.68699999992,498348.9234,-26728.06540000002,2.5018911148758174,346892.231,2.491718541218362,1.8198047890713271,0.9996085702790253,-0.027976887330849187
2013-01-01,824795.621,-122849.20399999993,495532.57,-2816.353400000022,2.300152382174724,29052.252,2.5018911148758174,1.8351006598517707,0.9996907179607909,-0.024869025373714312
